,post,likes,sponsored,nPost,followers,followees,nIgtv,business,verified,day,month,hour_of_day,category
12773,2021-10-11_15-29-04_UTC,88,0,3806,18454,1947,4,1,0,Monday,6,22.0,Creators & Celebrities
12774,2021-10-10_23-24-52_UTC,125,0,3806,18454,1947,4,1,0,Monday,6,16.0,Creators & Celebrities
12775,2021-10-09_14-56-04_UTC,50,1,3806,18454,1947,4,1,0,Sunday,6,22.0,Creators & Celebrities
12777,2021-10-07_19-31-10_UTC,31,0,3806,18454,1947,4,1,0,Saturday,6,2.0,Creators & Celebrities
12778,2021-10-07_15-53-17_UTC,128,0,3806,18454,1947,4,1,0,Friday,6,16.0,Creators & Celebrities
12779,2021-10-06_14-47-47_UTC,77,0,3806,18454,1947,4,1,0,Thursday,6,16.0,Creators & Celebrities
12780,2021-10-05_00-12-43_UTC,166,0,3806,18454,1947,4,1,0,Wednesday,6,16.0,Creators & Celebrities
12781,2021-10-03_22-45-50_UTC,108,0,3806,18454,1947,4,1,0,Tuesday,6,21.0,Creators & Celebrities
12782,2021-10-02_17-09-12_UTC,130,0,3806,18454,1947,4,1,0,Tuesday,6,17.0,Creators & Celebrities
12783,2021-10-01_15-58-56_UTC,51,1,3806,18454,1947,4,1,0,Tuesday,6,1.0,Creators & Celebrities
12784,2021-09-30_15-56-25_UTC,143,0,3806,18454,1947,4,1,0,Monday,6,16.0,Creators & Celebrities
12785,2021-09-29_16-14-34_UTC,105,0,3806,18454,1947,4,1,0,Sunday,6,16.0,Creators & Celebrities
12786,2021-09-28_15-29-53_UTC,217,0,3806,18454,1947,4,1,0,Sunday,6,1.0,Creators & Celebrities
12787,2021-09-27_16-39-16_UTC,118,0,3806,18454,1947,4,1,0,Friday,6,17.0,Creators & Celebrities
12789,2021-09-25_17-47-36_UTC,161,0,3806,18454,1947,4,1,0,Thursday,6,16.0,Creators & Celebrities
12790,2021-09-24_16-18-38_UTC,228,0,3806,18454,1947,4,1,0,Wednesday,6,17.0,Creators & Celebrities
12791,2021-09-23_15-27-25_UTC,76,1,3806,18454,1947,4,1,0,Tuesday,6,20.0,Creators & Celebrities
12792,2021-09-22_23-01-28_UTC,49,1,3806,18454,1947,4,1,0,Tuesday,6,16.0,Creators & Celebrities
12793,2021-09-22_17-12-39_UTC,194,0,3806,18454,1947,4,1,0,Monday,6,16.0,Creators & Celebrities
12794,2021-09-21_15-11-55_UTC,770,0,3806,18454,1947,4,1,0,Sunday,6,23.0,Creators & Celebrities
12795,2021-09-20_18-07-28_UTC,109,0,3806,18454,1947,4,1,0,Saturday,6,16.0,Creators & Celebrities
12796,2021-09-19_22-23-41_UTC,189,0,3806,18454,1947,4,1,0,Friday,6,17.0,Creators & Celebrities
12797,2021-09-18_21-50-18_UTC,135,0,3806,18454,1947,4,1,0,Thursday,6,22.0,Creators & Celebrities
12798,2021-09-17_16-43-04_UTC,524,0,3806,18454,1947,4,1,0,Thursday,6,16.0,Creators & Celebrities
12799,2021-09-16_19-12-00_UTC,79,1,3806,18454,1947,4,1,0,Wednesday,6,23.0,Creators & Celebrities
12800,2021-09-16_15-04-22_UTC,173,0,3806,18454,1947,4,1,0,Wednesday,6,17.0,Creators & Celebrities
12803,2021-09-13_14-57-01_UTC,104,0,3806,18454,1947,4,1,0,Monday,5,16.0,Creators & Celebrities
12804,2021-09-12_22-26-43_UTC,264,0,3806,18454,1947,4,1,0,Sunday,5,23.0,Creators & Celebrities
